id,2017,2018,2019,2020
0,0.7806516289710999,0.7777960980311036,0.7726907879114151,0.7983854422345757
1,0.7812719161156565,0.7798159795347601,0.7726907879114151,0.7908500174526125
2,0.7496078221593052,0.7774462515953928,0.7597084352746606,0.7819734069053084
3,0.7505064422730356,0.7774462515953928,0.7633036116603762,0.7819734069053084
4,0.7504535673651844,0.7543978476896882,0.7714036852121353,0.7802741834893823
5,0.7496078221593052,0.7710820771753788,0.7754563170019537,0.752940701553598
6,0.7633836008608341,0.7715109027922153,0.7825402254238725,0.7641036922577769
7,0.7496078221593052,0.7631703056395054,0.7754563170019537,0.752940701553598
8,0.7832152771297842,0.7796542926225811,0.7717521695885807,0.7843229919672012
9,0.7747577561531216,0.776719898916781,0.7692341322544962,0.7712964750826359
10,0.7832152771297842,0.7796542926225811,0.7717521695885807,0.7843229919672012
11,0.7593892747536302,0.7548750378191471,0.7720471024513245,0.779708186397329
12,0.7651444235816598,0.7743817383889109,0.7813528412953019,0.7817305475473404
13,0.7651444235816598,0.7743817383889109,0.7813528412953019,0.7817305475473404
14,0.752967182546854,0.7668003775179386,0.7788191772997379,0.7775538882706314
15,0.7633836008608341,0.7715109027922153,0.7825402254238725,0.7641036922577769
16,0.7463614279404283,0.7743280290160328,0.7754563170019537,0.7838095633778721
17,0.7659721767995507,0.7662392894271761,0.771189272403717,0.7571304740849882
18,0.7776615323964506,0.779708186397329,0.7870821664109826,0.7870009450707585
19,0.7740595100913197,0.7744085937738419,0.7865949012339115,0.785810180241242
20,0.7659721767995507,0.7652245091740042,0.7792501486837864,0.7571304740849882
21,0.779573455452919,0.779708186397329,0.7870821664109826,0.7775000690016896
22,0.779708186397329,0.7860266158822924,0.7870821664109826,0.7913928946945816
23,0.7813798172865063,0.7824322441592813,0.7843500191811472,0.785810180241242
24,0.7608526444528252,0.7691003093495965,0.7865949012339115,0.7755906917154789
25,0.7598680406808853,0.7763702946249396,0.7567056643310934,0.7783614008221775
26,0.763970316387713,0.7677627205848694,0.7802741834893823,0.7597882358822972
27,0.7723689116537571,0.7838636005762964,0.7805977026000619,0.77338841650635
28,0.7838095633778721,0.7848365886602551,0.7805977026000619,0.77338841650635
